Вопрос решен	Вопрос не решен 	Нравится качество выполнения заявки	Нравится качество работы сотрудников	Нравится скорость отработки заявок	Понравилось выполнение заявки	Unnamed: 6	Unnamed: 7	Unnamed: 8
					спасибо			
					спасибо!			
					Отлично 			
		Благодарю за оперативное решение проблемы ! 						
			Прекрасный специалист! Побольше таких					
					Спасибо 			
				пересчет, и скорость 				
								
					спасибо большое! теперь не скрипят 			
					Спасибо!			
					Норм			
					спасибо. все прошло очень хорошо			
				Спасибо, пришли все поменяли за 10 минут 				
					Все очень оперативно 			
					Огромное спасибо.			
					Все отлично! Спасибо.			
			Хороший мастер					
				Спасибо за оперативность! 				
			Благодарю ребят.					
					Спасибо большое 			
			Проблема решена, ручки на окна поставили.					
"Спасибо за обратную связь!"""								
			Благодарю за проделанную работу! 					
		надеюсь и причину устранили, а то после первого дождя будет тоже самое..						
					Спасибо, всё чётко.			
					Благодарю 			
			Спасибо Сергей ! ))))					
			Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)					
		хоть что то сделали ????						
					спасибо)			
			профессионально, быстро. очень приятный мастер					
					спасибо! 			
Спасибо		 вопрос решили	 всё стало нормально 					
			Татьяна Владимировна большое вам спасибо!!!! 					
				спасибо за  быстрый ответ! 				
				Среагировали быстро, благодарю 				
				Спасибо за оперативность!				
			Отличный мастер!					
		Спасибо! По крайней мере, по ночам пока шума не слышно.						
				Быстро 				
				Спасибо за своевременное выполнение заявки...				
				все сделали быстро. спасибо 				
					всё отлично ??			
			Большое спасибо Александру,за оперативность и профессионализм 					
					благодарю 			
		оперативно и качественно. спасибо 		оперативно и качественно. спасибо 				
					благодарю, всего доброго!			
					Спасибо большое! 			
			К мастеру вопросов нет.  					
			Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!					
		вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции 	вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции 					
		спасибо большое! надолго ли??						
					Огромное спасибо! 			
		Всё очень четко организовано! Большое спасибо за работу!						
		Спасибо Вам большое и за дверь и за номера квартир!						
		снимаю звезду за первую отписку без выполнения работ						
		В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! 		В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! 				
					Спасибо! Все заработало 			
спасибо		 решили мой вопрос на месте в офисе 						
			Спасибо больше Ольге Птушкине, за проделанную работу! 					
		всё сделали хорошо, починили вовремя. наверное, молодцы.						
					Спасибо			
					Супер! Спасибо!			
		Отлично! Все выполнили как и обещали! 						
				Очень оперативно. Спасибо большое 				
		Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.	Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.	Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.				
			Умело подкрутили редукторы давления. Молодец!					
			все хорошо,дверь практически бесшумно закрывается					
			проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам					
			быстро, чётко, без проблем. одно слово - мастер! 					
Работает. Спасибо!								
		сегодня ездил, все исправно работает, спасибо!						
					Спасибо большое, всё понятно.			
			Татьяна спасибо ??					
На вопрос ответили. Крепления нельзя повесить в колясочной								
					Большое спасибо!			
			Лучший 					
				спасибо за оперативность 				
					спасибо 			
				спасибо за то что быстро отреагировали				
		Сервис на высоте, мастер - профессионал						
					спасибо большое			
ок 								
			Надолго ли(					
					Спасибо. Все работает			
					Спасибо большое!			
заявка выполнена		 спасибо.						
		Дверь закрывается намного лучше.						
				Спасибо за быстрое реагирование!!!				
				Оперативно сработали, благодарю.				
			Спасибо сантехнику Алексею, все сделано качественно 					
