"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
2,"1","спасибо","2025-05-11T08:05:03.445528Z",2945792,57.741,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:05:03.445528Z","","","","",""
3,"1","спасибо!","2025-05-11T08:05:10.876333Z",3234340,4.36,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:05:10.876333Z","","","","",""
4,"1","Отлично ","2025-05-11T08:05:26.251130Z",3380332,10.136,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:05:26.251130Z","","","","",""
5,"1","Благодарю за оперативное решение проблемы ! ","2025-05-11T08:06:47.250708Z",3381812,9.239,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:06:47.250708Z","","","","",""
6,"1","Прекрасный специалист! Побольше таких","2025-05-11T08:06:53.937375Z",3461991,5.064,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:06:53.937375Z","","","","",""
7,"1","Спасибо ","2025-05-11T08:07:01.153568Z",3551430,2.782,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:07:01.153568Z","","","","",""
8,"1","пересчет, и скорость 
","2025-05-11T08:07:15.564902Z",3572768,10.432,1,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:07:15.564902Z","","","","",""
9,"1","Спасибо за обновление покраски стен","2025-05-11T08:07:28.291054Z",3584536,9.974,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:07:28.291054Z","","","","",""
10,"1","выполнили быстро","2025-05-11T08:07:42.335276Z",3596020,11.895,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:07:42.335276Z","","","","",""
11,"1","Спасибо! ","2025-05-11T08:07:47.590864Z",3617808,3.098,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:07:47.591878Z","","","","",""
12,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-11T08:07:57.600045Z",3627490,6.015,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:07:57.600045Z","","","","",""
13,"1","спасибо 
","2025-05-11T08:08:07.216732Z",3657819,3.171,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:08:07.217733Z","","","","",""
14,"1","Спасибо ","2025-05-11T08:08:12.863716Z",3691620,3.248,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:08:12.863716Z","","","","",""
15,"1","Решили мой вопрос. Спасибо! ","2025-05-11T08:08:19.792049Z",3695420,2.297,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:08:19.792049Z","","","","",""
16,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-11T08:08:42.860072Z",3716702,21.003,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:08:42.860072Z","","","","",""
17,"1","Все исправили ","2025-05-11T08:14:30.292215Z",3726842,2.852,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:14:30.292215Z","","","","",""
18,"1","спасибо за оперативную работу ","2025-05-11T08:14:37.269651Z",3745025,3.834,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:14:37.269651Z","","","","",""
19,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-11T08:14:49.289520Z",3749719,10.272,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:14:49.289520Z","","","","",""
20,"1","спасибо большое! теперь не скрипят ","2025-05-11T08:14:55.362795Z",3751364,4.635,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:14:55.362795Z","","","","",""
21,"1","спасибо","2025-05-11T08:14:59.224229Z",3766183,2.544,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:14:59.224229Z","","","","",""
22,"1","Спасибо!","2025-05-11T08:15:03.109132Z",3770102,2.299,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:15:03.109132Z","","","","",""
23,"1","Норм","2025-05-11T08:15:08.917084Z",3773834,2.978,1,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:15:08.917084Z","","","","",""
24,"1","спасибо. все прошло очень хорошо","2025-05-11T08:15:15.363324Z",3791959,4.915,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:15:15.363324Z","","","","",""
