id	rating	comment	Нравится скорость отработки заявок	Нравится качество выполнения заявки	Нравится качество работы сотрудников	Понравилось выполнение заявки	Вопрос решен
2945792	5	спасибо	0	0	0	1	0
3234340	5	спасибо!	0	0	0	1	0
3380332	5	Отлично 	0	1	0	1	0
3381812	5	Благодарю за оперативное решение проблемы ! 	1	0	0	0	0
3461991	5	Прекрасный специалист! Побольше таких	0	0	1	0	0
3551430	5	Спасибо 	0	0	0	1	0
3572768	1	пересчет, и скорость 	1	0	0	0	0
			0	0	0	0	0
			0	0	0	0	0
3751364	5	спасибо большое! теперь не скрипят 	0	0	0	1	0
3766183	5	спасибо	0	0	0	1	0
3770102	5	Спасибо!	0	0	0	1	0
3773834	1	Норм	0	0	0	0	0
3791959	5	спасибо. все прошло очень хорошо	0	1	0	1	0
3797804	5	Спасибо, пришли все поменяли за 10 минут 	0	0	0	1	0
3799741	5	Все очень оперативно 	1	0	0	0	0
3802024	5	Огромное спасибо.	0	0	0	1	0
3805876	5	Все отлично! Спасибо.	0	1	0	1	0
3812092	5	Хороший мастер	0	0	1	0	0
3815412	5	Спасибо за оперативность! 	1	0	0	1	0
			0	0	0	0	0
			0	0	0	0	0
			0	0	0	0	0
3829748	5	Благодарю ребят.	0	0	0	0	0
3831509	5	Спасибо большое 	0	0	0	1	0
3831883	5	спасибо	0	0	0	1	0
3832952	5	Спасибо!	0	0	0	1	0
3834081	5	Проблема решена, ручки на окна поставили.	0	0	0	0	0
"Спасибо за обратную связь!"""			0	0	0	0	0
3835748	5	Благодарю за проделанную работу! 	0	0	0	0	0
3835874	5	надеюсь и причину устранили, а то после первого дождя будет тоже самое..	0	0	0	0	0
3839647	5	Спасибо, всё чётко.	0	0	0	1	0
3840353	5	Благодарю 	0	0	0	0	0
3841026	5	Спасибо Сергей ! ))))	0	0	0	1	0
3842440	5	Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)	1	0	1	0	0
3842790	5	хоть что то сделали ????	0	0	0	0	0
3843760	5	спасибо)	0	0	0	1	0
3844645	5	профессионально, быстро. очень приятный мастер	1	0	1	0	0
